#NAME SDSSID RA DEC R_PET R_PET_ERR I_MOD I_MOD_ERR G_MOD G_MOD_ERR N_FIRST FIRST_TOTINTFLUX N_NVSS NVSS_TOTINTFLUX Z QOP ZSOURCE OIII_SN EW_OIII VISCLASS BESTCLASS HI_COMP ZSOURCE_TARGET DISAGREE_GAMA NAME RA_deg DEC_deg W1 W1err W2 W2err W3 W3err W4 W4err
J001217.82-000610.7 587731186205261900 3.07429 -0.10297 16.071 0.008 15.700 0.004 16.222 0.003 1 1.25 0 -99.000 0.04053 5 SDSS 113.00 49.40 NA SF 0 -1 -1 J001217.82-000610.7 3.074290 -0.102970 13.241 0.024 12.932 0.029 8.587 0.028 5.443 0.041
J001219.30+000705.8 588015509270692001 3.08042 0.11828 16.589 0.009 16.117 0.006 17.127 0.006 1 0.91 1 2.200 0.10840 4 SDSS 12.20 3.76 NA SF 0 -1 -1 J001219.30+000705.8 3.080420 0.118280 13.564 0.026 13.260 0.032 9.192 0.038 7.104 0.122
J001222.41+002548.5 588015509807563036 3.09339 0.43015 19.321 0.175 18.593 0.022 20.968 0.070 1 1.06 0 -99.000 0.39875 5 SDSS 0.58 0.25 NA LERG 0 -1 -1 J001222.41+002548.5 3.093390 0.430150 15.026 0.036 15.004 0.079 12.360 0.000 8.539 0.000
J001226.82-004819.3 588015508197015639 3.11178 -0.80539 16.477 0.009 15.857 0.004 17.246 0.006 1 5.30 1 5.500 0.07312 5 SDSS 60.90 14.70 NA SF 0 -1 -1 J001226.82-004819.3 3.111780 -0.805390 12.670 0.023 12.180 0.024 7.360 0.018 4.022 0.019
J001228.99-001320.4 588015508733886602 3.12081 -0.22235 18.947 0.073 18.243 0.020 20.697 0.075 1 0.85 1 2.600 0.40470 3 SDSS 3.25 0.79 NA LERG 0 -1 -1 J001228.99-001320.4 3.120810 -0.222350 14.822 0.033 14.758 0.065 11.768 0.000 9.084 0.000
J001229.84+003911.4 587731187279003824 3.12437 0.65317 17.709 0.030 17.115 0.008 19.116 0.016 1 1.04 1 4.974 0.25052 5 SDSS 1.90 0.31 NA LERG 0 -1 -1 J001229.84+003911.4 3.124370 0.653170 13.919 0.026 13.632 0.039 11.865 0.000 8.834 0.000
J001229.98-002728.1 587731185668391365 3.12493 -0.45783 19.768 0.090 18.771 0.024 21.367 0.108 1 3.04 1 3.700 0.46445 4 SDSS 0.28 0.12 NA LERG 0 -1 -1 J001229.98-002728.1 3.124930 -0.457830 15.314 0.044 14.943 0.077 12.453 0.000 8.639 0.000
J001232.30+000209.7 588015509270757560 3.13459 0.03604 18.076 0.037 17.384 0.010 19.507 0.025 1 0.70 0 -99.000 0.21325 5 SDSS 3.17 1.52 NA LERG 0 -1 -1 J001232.30+000209.7 3.134590 0.036040 14.040 0.028 13.739 0.036 11.601 0.000 8.576 0.000
J001234.57+000259.2 588015509270757473 3.14408 0.04978 20.196 0.754 18.717 0.017 20.149 0.033 1 2.03 1 4.400 0.03967 4 SDSS 12.50 2.50 NA SF 0 -1 -1 J001234.57+000259.2 3.144080 0.049780 12.629 0.024 12.418 0.025 8.323 0.024 6.352 0.072
J001246.09-003543.4 587731185668456553 3.19208 -0.59541 17.592 0.018 17.064 0.007 18.957 0.015 1 2.08 1 3.900 0.22541 5 SDSS 0.07 0.01 NA LERG 0 -1 -1 J001246.09-003543.4 3.192080 -0.595410 13.953 0.027 13.719 0.041 11.748 0.000 8.888 0.000
